Price;Condo;Size;Rooms;Toilets;Suites;Parking;Elevator;Furnished;Swimming Pool;New;District;Latitude;Longitude
164000;86;46;2;2;1;1;0;0;0;0;Cidade Tiradentes;-23.608491;-46.398886
740000;1012;72;3;2;1;2;0;0;1;0;Perdizes;-23.538131699999997;-46.6861724
180000;180;42;2;1;0;1;0;0;0;0;Cursino;;
210000;200;34;2;1;0;0;0;0;0;0;Barra Funda;-23.5267896;-46.6516566
280000;380;52;2;2;1;1;1;0;0;0;Cangaíba;-23.508439000000003;-46.530778000000005
660000;780;55;2;2;1;2;0;0;1;0;Moema;-23.612121;-46.666139
250000;0;50;2;2;1;1;0;0;0;0;São Miguel;-23.513231;-46.470894
250000;0;49;2;1;0;1;1;0;1;0;Ermelino Matarazzo;-23.491087;-46.4712856
280000;420;60;3;1;0;1;0;0;1;0;São Mateus;-23.587856100000003;-46.48852539999999
2000000;1100;177;3;2;1;1;1;1;0;0;República;-23.547402899999998;-46.6429158
290000;520;55;2;2;1;1;1;1;0;0;Ermelino Matarazzo;-23.503028;-46.474118
295000;373;54;2;2;1;1;1;0;0;0;Belém;-23.536768;-46.593884
700000;1000;150;4;3;1;2;1;0;1;0;Carrão;-23.550535;-46.530384000000005
369000;398;71;3;2;1;1;1;0;1;0;São Domingos;-23.507245;-46.735663
760000;880;122;3;2;1;2;0;0;0;0;Mandaqui;;
1450000;0;225;4;4;3;3;0;0;1;0;Brooklin;;
380000;700;68;3;2;1;2;0;0;0;0;Campo Grande;-23.6635889;-46.6821916
400000;445;65;2;2;1;1;0;0;1;0;Belém;-23.532871;-46.601244
160000;130;44;2;2;1;1;0;0;0;0;São Miguel;-23.505886;-46.46784
326000;720;70;2;2;1;1;0;0;1;0;Vila Matilde;-23.539714;-46.531631
515001;700;53;2;2;1;1;1;0;1;0;Saúde;-23.612807;-46.636365000000005
840000;1300;181;3;4;3;2;0;0;0;0;Cidade Dutra;-23.7142218;-46.7046755
130000;100;48;2;2;1;2;0;0;0;0;Raposo Tavares;-23.598696;-46.77463
490000;430;65;2;2;1;1;1;1;1;0;Santo Amaro;-23.660764999999998;-46.706891999999996
199000;200;47;2;1;0;1;0;0;1;0;Parque do Carmo;-23.5943481;-46.46743
369000;750;86;3;3;1;2;0;0;1;0;Morumbi;-23.626606;-46.72965
349900;435;58;2;2;1;1;1;0;1;0;Vila Andrade;-23.627377;-46.743767
380000;680;58;2;2;1;2;1;0;1;0;Aricanduva;-23.538037;-46.545057
840000;1256;124;2;2;1;1;1;0;0;0;Consolação;-23.554719;-46.6566922
1150000;1350;110;3;2;1;2;0;1;1;0;Moema;-23.602788399999998;-46.668060499999996
212000;180;56;2;1;0;1;0;0;0;0;Artur Alvim;;
460000;790;72;2;2;1;1;1;0;0;0;Bela Vista;-23.567141;-46.644566999999995
1200000;2130;121;4;2;1;3;0;0;1;0;Brooklin;-23.610485600000004;-46.6811616
220000;286;44;2;2;1;1;1;0;1;0;Belém;-23.537072;-46.598513
380000;460;62;3;2;1;1;0;0;0;0;Cidade Ademar;-23.6660836;-46.6755075
585000;0;90;2;2;1;2;0;0;0;0;Santana;-23.4939184;-46.624964500000004
636000;800;60;2;2;1;1;0;0;1;0;Moema;-23.611337300000002;-46.6623979
645000;550;65;2;1;0;1;0;0;1;0;Casa Verde;-23.4961783;-46.645621399999996
450000;929;60;2;2;1;2;1;1;1;0;Casa Verde;-23.511036999999998;-46.657272
304000;0;47;2;2;1;1;0;1;1;0;Água Rasa;-23.575891;-46.564853
201000;260;51;2;1;0;1;0;0;0;0;Vila Curuçá;-23.517640300000004;-46.428927200000004
182000;290;63;2;1;0;1;0;0;0;0;São Rafael;-23.6365359;-46.4704775
900000;0;125;3;2;1;2;0;0;0;0;Carrão;-23.549214000000003;-46.5397515
1480000;950;111;3;3;1;2;1;0;1;0;Brooklin;-23.602882;-46.694779
185000;280;59;2;2;1;1;0;0;1;0;Itaim Paulista;-23.517398999999997;-46.388845
735000;0;70;2;2;1;1;1;0;1;0;Ipiranga;-23.577951000000002;-46.606111
400000;500;78;2;1;0;1;0;0;1;0;Campo Grande;-23.6635889;-46.6821916
270000;394;55;2;1;0;0;0;0;0;0;Liberdade;;
800000;1500;200;3;1;0;1;0;0;0;0;Bom Retiro;-23.5314236;-46.6363744
215000;350;43;2;2;1;1;1;0;0;0;Jardim Ângela;-23.613198999999998;-46.52323
190000;0;30;1;1;0;0;0;0;0;0;República;-23.5401773;-46.6451713
160000;0;45;2;1;0;1;0;0;0;0;Aricanduva;-23.525648;-46.428652899999996
399000;451;61;2;2;1;1;1;0;1;0;Campo Grande;-23.669777;-46.688953999999995
220000;0;46;2;2;1;1;0;0;0;0;Vila Curuçá;-23.503116000000002;-46.420590999999995
280000;505;52;2;1;0;1;0;0;1;0;Jabaquara;-23.6580671;-46.6506936
290000;450;52;2;2;1;1;1;0;1;0;Rio Pequeno;-23.562501;-46.74792
1550000;2301;182;4;2;1;2;0;0;1;0;Itaim Bibi;;
270000;283;50;2;2;1;1;1;0;0;0;Brás;-23.546671;-46.617708
180000;300;56;2;1;0;1;0;0;0;0;São Mateus;;
404000;440;71;3;2;1;2;1;0;1;0;São Domingos;-23.507245;-46.735663
369000;295;63;2;2;1;1;1;0;1;0;Mooca;-23.552691;-46.623627
540000;450;65;3;2;1;1;0;0;0;0;Casa Verde;-23.5124632;-46.656507500000004
260000;350;74;2;1;0;1;0;0;0;0;Jaçanã;-23.472129100000004;-46.582392999999996
392000;542;68;3;2;1;1;0;0;0;0;Sapopemba;-23.5852535;-46.5337662
358000;0;60;3;2;1;1;0;0;1;0;São Lucas;-23.604702;-46.524813
680000;550;87;3;2;1;2;1;1;1;0;Pari;-23.526510000000002;-46.608819
270000;720;60;3;2;1;1;0;0;1;0;Capão Redondo;-23.654985999999997;-46.762737
2900000;1750;311;3;4;3;4;0;0;0;0;Casa Verde;-23.5097376;-46.650593
380000;350;46;1;1;0;1;0;0;1;0;Brás;-23.5507512;-46.6182169
2230514;0;163;3;5;3;2;1;0;1;0;Vila Mariana;-23.579318;-46.644378
500000;900;90;3;2;1;1;0;0;0;0;Casa Verde;-23.5093633;-46.6654343
500000;500;50;1;1;0;1;0;0;0;0;Consolação;-23.5527417;-46.651318599999996
980000;1650;100;3;4;3;2;1;0;1;0;Moema;-23.610695;-46.6612937
180000;188;50;3;1;0;1;1;0;0;0;Guaianazes;-23.5411815;-46.4058251
290000;450;70;2;2;1;1;0;0;0;0;Jaçanã;-23.460059;-46.58511
140000;255;46;2;2;1;1;1;0;0;0;Cidade Tiradentes;-23.593668;-46.407336
540000;460;85;3;2;1;1;1;0;1;0;Freguesia do Ó;-23.498451;-46.695502000000005
320000;0;57;3;1;0;1;1;1;0;0;São Lucas;-23.6062966;-46.5260531
790000;1117;102;3;2;1;1;0;0;0;0;Perdizes;-23.5336277;-46.675914
234000;390;55;2;2;1;1;0;0;0;0;Brasilândia;-23.471708;-46.687678999999996
1100000;1200;126;3;2;1;1;0;0;0;0;Bela Vista;;
199000;300;48;2;1;0;1;0;0;1;0;Aricanduva;;
3770000;4040;257;3;4;3;4;0;0;1;0;Moema;-23.5995651;-46.660746
240000;0;50;2;1;0;1;0;0;0;0;Vila Matilde;-23.5451565;-46.5052324
1200000;930;122;4;2;1;2;0;0;1;0;Campo Limpo;-23.6162336;-46.6793391
380000;700;60;2;2;1;1;1;0;0;0;Perdizes;-23.539898;-46.683665000000005
420000;1200;54;2;2;1;1;1;1;1;0;Brooklin;-23.603693;-46.694742
255000;360;48;2;1;0;1;0;0;0;0;Brás;-23.5499427;-46.622437299999994
220000;3;52;2;2;1;1;0;0;0;0;Cangaíba;-23.497409;-46.507369
1350000;1570;113;3;2;1;1;0;0;0;0;Jardim Paulista;-23.5675238;-46.656839
453952;0;55;2;2;1;1;0;0;1;0;Vila Formosa;-23.560436;-46.550796000000005
220000;0;60;2;2;1;1;0;0;0;0;Ponte Rasa;-23.513296;-46.483528
435900;400;45;1;2;1;1;0;0;1;0;República;-23.5409625;-46.6431693
690000;450;106;3;2;1;2;1;0;0;0;Cidade Ademar;-23.6605957;-46.6674919
362677;0;59;3;2;1;1;1;0;0;0;Vila Maria;-23.516304;-46.590937
140000;150;45;2;1;0;1;1;0;0;0;Cidade Tiradentes;-23.5930031;-46.395559000000006
1242198;950;113;3;3;1;2;1;0;1;0;Santo Amaro;-23.631833;-46.694802
255000;320;50;2;1;0;1;1;0;1;0;Ermelino Matarazzo;-23.4865289;-46.469882500000004
380000;0;59;2;2;1;1;0;0;1;0;Tremembé;-23.4641288;-46.6011021
220000;0;49;2;2;1;1;0;0;1;0;Jardim Ângela;-23.597539;-46.541123999999996
750000;706;97;3;2;1;2;0;0;1;0;Bom Retiro;-23.5216453;-46.647649
880000;1200;180;4;4;3;2;1;0;1;0;Cidade Dutra;-23.714197;-46.702117
238000;100;47;2;1;0;1;1;0;0;0;Vila Jacuí;-23.5018558;-46.45638579999999
500000;520;42;1;1;0;1;1;0;1;0;Moema;-23.6088111;-46.6625344
1244000;1000;100;3;3;1;2;1;0;1;0;Perdizes;-23.532413000000002;-46.67957
850000;1063;90;3;2;1;1;0;0;0;0;Consolação;-23.5492971;-46.6538564
